Serial,,OpenMP (SVE2),,OpenMP (SVE2 with faddv),,Rex,
1.992750,,0.528650,0.000000,0.035300,0.000000,0.112350,2869.062500
1.927400,,0.528650,0.000000,0.035300,0.000000,0.112350,2875.515625
1.927500,,0.528650,0.000000,0.035300,0.000000,0.112350,2859.468750
1.928150,,0.529050,0.000000,0.035300,0.000000,0.112400,2875.390625
1.955300,,0.528650,0.000000,0.035300,0.000000,0.112400,2889.406250
=AVERAGE(A2:A6),,=AVERAGE(C2:C6),,=AVERAGE(E2:E6),,=AVERAGE(G2:G6),
