Serial,,OpenMP (SVE2),,OpenMP (SVE2 with faddv),,Rex,
0.812350,,0.023550,0.000000,0.023800,0.000000,0.026900,0.000000
0.810450,,0.023600,0.000000,0.023650,0.000000,0.026850,0.000000
0.812850,,0.023550,0.000000,0.023650,0.000000,0.026900,0.000000
0.815050,,0.023550,0.000000,0.023650,0.000000,0.026900,0.000000
0.813000,,0.023550,0.000000,0.023650,0.000000,0.026800,0.000000
=AVERAGE(A2:A6),,=AVERAGE(C2:C6),,=AVERAGE(E2:E6),,=AVERAGE(G2:G6),
