Serial,,OpenMP (SVE2),,OpenMP (SVE2 with faddv),,Rex,
0.219800,20.000000,0.051500,0.000000,0.004700,0.000000,0.009750,-704244.000000
0.220000,20.000000,0.051500,0.000000,0.004700,0.000000,0.009750,-707196.000000
0.221200,20.000000,0.051550,0.000000,0.004700,0.000000,0.009750,-704184.000000
0.220750,20.000000,0.051550,0.000000,0.004700,0.000000,0.009750,-703048.000000
0.221500,20.000000,0.051500,0.000000,0.004750,0.000000,0.009750,-705648.000000
=AVERAGE(A2:A6),,=AVERAGE(C2:C6),,=AVERAGE(E2:E6),,=AVERAGE(G2:G6),
